state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
Connecticut,2016,45090,0.0947,855,1224,0.0011,0.0003,0.0397,0.0229
Delaware,2016,37960,0.1165,154,1058,0.0011,0.0003,0.0791,0.0136
Florida,2016,32790,0.1479,2798,848,0.0016,0.0002,0.0839,0.0095
Georgia,2016,34330,0.1581,918,731,0.0013,0.0001,0.0517,0.013
Hawaii,2016,40030,0.0899,77,1356,0.0055,0.0001,0.057,0.0159
Idaho,2016,32800,0.1436,119,692,0.0013,0.0001,0.0535,0.0073
Illinois,2016,38270,0.13,1947,722,0.0009,0.0002,0.0394,0.0176
Indiana,2016,33790,0.14,794,714,0.0009,0.0002,0.0484,0.0134
Iowa,2016,34790,0.1142,183,659,0.001,0.0001,0.0422,0.0129
Kansas,2016,34460,0.121,146,697,0.0008,0.0001,0.0513,0.012
Kentucky,2016,33190,0.1864,989,674,0.001,0.0003,0.0558,0.019
Louisiana,2016,32080,0.203,346,715,0.0009,0.0002,0.0676,0.0202
Maine,2016,35380,0.1299,301,767,0.0017,0.0003,0.1496,0.0199
Maryland,2016,43010,0.0937,1821,1165,0.0013,0.0003,0.0421,0.0164
Massachusetts,2016,46690,0.105,1990,1218,0.0029,0.0003,0.0408,0.0282
Michigan,2016,36030,0.1489,1762,713,0.0009,0.0002,0.0679,0.0146
Minnesota,2016,40100,0.0983,396,748,0.0013,0.0001,0.0473,0.0166
Mississippi,2016,29590,0.2075,180,676,0.0006,0.0001,0.0724,0.0186
Missouri,2016,34230,0.1393,914,679,0.001,0.0002,0.0637,0.0149
Montana,2016,32750,0.1306,42,694,0.0014,0.0001,0.0784,0.0131
Nebraska,2016,34890,0.1173,44,657,0.0014,0.0001,0.0418,0.0145
Nevada,2016,34510,0.1357,408,804,0.0025,0.0002,0.0571,0.0078
New Hampshire,2016,38270,0.0694,437,992,0.001,0.0004,0.078,0.0159
New Jersey,2016,41950,0.1029,1409,1330,0.001,0.0002,0.0462,0.0189
New Mexico,2016,32900,0.2005,349,740,0.0011,0.0002,0.0761,0.0123
New York,2016,42760,0.148,3009,953,0.0044,0.0002,0.0521,0.0306
North Carolina,2016,33920,0.1571,1506,730,0.0009,0.0002,0.0648,0.0122
North Dakota,2016,39160,0.1161,54,704,0.0012,0.0001,0.0708,0.0176
Ohio,2016,35760,0.1442,3613,703,0.0009,0.0004,0.0464,0.0192
Oklahoma,2016,33140,0.1613,444,687,0.001,0.0002,0.0641,0.0136
Oregon,2016,37990,0.1341,312,814,0.0032,0.0001,0.0394,0.013
Pennsylvania,2016,36680,0.1281,2235,784,0.0012,0.0004,0.0527,0.0172
Rhode Island,2016,39730,0.1274,279,998,0.0011,0.0003,0.0514,0.0357
South Carolina,2016,32140,0.1519,628,712,0.001,0.0002,0.0723,0.0126
South Dakota,2016,31590,0.1376,42,673,0.0012,0.0001,0.0577,0.0159
Tennessee,2016,32800,0.157,1186,673,0.0013,0.0002,0.0547,0.0159
Texas,2016,35480,0.1566,1375,751,0.0008,0.0001,0.0437,0.0099
Utah,2016,35010,0.1038,466,766,0.0009,0.0002,0.0365,0.0062
Vermont,2016,37920,0.1118,101,987,0.0018,0.0002,0.1198,0.0201
Virginia,2016,39070,0.1109,1130,921,0.0007,0.0002,0.0441,0.0123
Washington,2016,43400,0.1138,709,881,0.0029,0.0002,0.0353,0.012
West Virginia,2016,30760,0.1828,733,639,0.0008,0.0005,0.0899,0.0185
Wisconsin,2016,36250,0.1179,866,735,0.001,0.0002,0.0591,0.0133
Wyoming,2016,38710,0.1174,50,774,0.0015,0.0002,0.0805,0.0099
Alabama,2017,32800,0.168,422,692,0.0008,0.0002,0.0855,0.0188
Alaska,2017,47560,0.117,102,1201,0.0025,0.0002,0.0895,0.0104
Arizona,2017,36270,0.147,928,808,0.0013,0.0002,0.0633,0.0058
Arkansas,2017,30810,0.162,188,651,0.0008,0.0001,0.0723,0.0172
California,2017,40980,0.132,2199,1242,0.0033,0.0001,0.0298,0.0123
Colorado,2017,40880,0.103,578,905,0.0019,0.0002,0.0439,0.0109
Connecticut,2017,45870,0.094,955,1209,0.0009,0.0003,0.045,0.023
Delaware,2017,38850,0.129,250,1054,0.001,0.0004,0.0783,0.0134
Florida,2017,33420,0.14,3245,876,0.0015,0.0002,0.0836,0.0092
Georgia,2017,35040,0.152,1014,722,0.001,0.0001,0.0516,0.013
Hawaii,2017,41650,0.106,53,1393,0.0051,0.0001,0.0596,0.0159
Idaho,2017,33250,0.132,103,724,0.0012,0.0001,0.0563,0.0072
Illinois,2017,38870,0.127,2202,752,0.0008,0.0002,0.0431,0.0176
Indiana,2017,34590,0.135,1176,733,0.0008,0.0003,0.0493,0.0134
Iowa,2017,35930,0.102,206,680,0.0009,0.0001,0.0446,0.0129
Kansas,2017,35150,0.12,144,722,0.0008,0.0001,0.0498,0.0119
Kentucky,2017,33790,0.174,1160,671,0.0009,0.0004,0.0582,0.019
Louisiana,2017,32490,0.2,415,738,0.0007,0.0002,0.0695,0.0202
Maine,2017,36210,0.114,360,793,0.0017,0.0003,0.1511,0.0199
Maryland,2017,43840,0.094,1985,1249,0.0012,0.0004,0.0401,0.0166
Massachusetts,2017,47440,0.104,1913,1260,0.0026,0.0003,0.0422,0.0284
Michigan,2017,36650,0.142,2033,739,0.0009,0.0003,0.0667,0.0146
Minnesota,2017,41260,0.098,422,769,0.0014,0.0001,0.0495,0.0161
Mississippi,2017,30070,0.197,185,723,0.0005,0.0001,0.0776,0.0184
Missouri,2017,35050,0.133,952,696,0.001,0.0002,0.0667,0.015
Montana,2017,33840,0.126,38,714,0.0015,0.0001,0.083,0.013
Nebraska,2017,36130,0.107,59,674,0.0013,0.0001,0.0433,0.0145
Nevada,2017,34930,0.131,412,814,0.0026,0.0002,0.0522,0.0078
New Hampshire,2017,38900,0.075,424,1029,0.0011,0.0003,0.0786,0.0158
New Jersey,2017,42500,0.097,1969,1363,0.001,0.0003,0.0447,0.0186
New Mexico,2017,33450,0.196,332,739,0.0012,0.0002,0.0814,0.0123
New York,2017,43690,0.14,3224,994,0.0046,0.0002,0.0522,0.0307
North Carolina,2017,34750,0.149,1953,742,0.0009,0.0002,0.065,0.0119
North Dakota,2017,40040,0.098,35,781,0.0014,0.0001,0.0772,0.0176
Ohio,2017,36500,0.139,4293,733,0.0009,0.0004,0.0458,0.0193
Oklahoma,2017,33630,0.154,388,710,0.0011,0.0002,0.0671,0.0136
Oregon,2017,38840,0.132,344,830,0.0034,0.0001,0.0398,0.0126
